Product_ID,Product_Name,Product_Description,Category,Subcategory,Unit,Min_Stock_Level,Average_Lead_Time_Days,Unit_Cost,Currency
P-0043,Czujniki Siemens Professional Series,Idealny do precyzyjnej detekcji obiektów w szybkich liniach pakujących i montażowych. Kluczowe cechy: złącze M12 4-pin. Standard: Certyfikat UL.,Production,Czujniki,szt.,8,5,328.04,PLN
P-0044,Toners Xerox Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,Office,Toners,szt.,10,4,380.86,PLN
P-0045,Okulary ochronne Honeywell Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,BHP,Okulary ochronne,szt.,8,7,855.34,PLN
P-0046,Narzędzia ABB Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Production,Narzędzia,szt.,6,2,1129.93,PLN
P-0047,Silnik SICK 1kW DC,Przeznaczony do pracy ciągłej S1 w układach napędowych i wentylacyjnych. Kluczowe cechy: wysoka sprawność IE3. Standard: Zgodność z normą IEC 60034.,Production,Silniki,szt.,7,2,526.69,PLN
P-0048,Papier Nowy Styl Professional Series,Zapewnia doskonały kontrast i ostrość wydruku w wysokonakładowych systemach laserowych. Kluczowe cechy: bezkwasowy skład. Standard: ISO 9706.,Office,Papier,szt.,14,5,652.15,PLN
P-0049,Monitor Samsung Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,IT,Monitory,szt.,14,5,4452.94,PLN
P-0050,Monitor Lenovo Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,IT,Monitory,szt.,10,3,4836.43,PLN
P-0051,Oprogramowanie Lenovo Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,IT,Oprogramowanie,szt.,6,6,7053.88,PLN
P-0052,Artykuły biurowe Brother Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,15,5,1259.47,PLN
P-0053,Toners Brother Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Office,Toners,szt.,14,2,160.15,PLN
P-0054,Okulary ochronne Ansell Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,BHP,Okulary ochronne,szt.,8,3,106.56,PLN
P-0055,Monitor HP Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,IT,Monitory,szt.,8,5,8637.07,PLN
P-0056,Toners Xerox Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Office,Toners,szt.,7,7,1119.83,PLN
P-0057,Toners Navigator Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,Office,Toners,szt.,10,6,724.2,PLN
P-0058,Laptop Dell ThinkPad i5/16GB,Zoptymalizowany pod kątem wielozadaniowości i bezpiecznej pracy w środowisku korporacyjnym. Kluczowe cechy: podświetlana klawiatura odporna na zachlapanie. Standard: TCO Certified.,IT,Laptopy,szt.,6,8,6487.22,PLN
P-0059,Papier Nowy Styl Professional Series,Zapewnia doskonały kontrast i ostrość wydruku w wysokonakładowych systemach laserowych. Kluczowe cechy: minimalne pylenie. Standard: Certyfikat FSC.,Office,Papier,szt.,5,2,72.61,PLN
P-0060,Toners Xerox Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,Office,Toners,szt.,6,5,116.72,PLN
P-0061,Narzędzia Siemens Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Production,Narzędzia,szt.,14,8,351.2,PLN
P-0062,Okulary ochronne Honeywell Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,BHP,Okulary ochronne,szt.,6,7,892.55,PLN
P-0063,Artykuły biurowe Navigator Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,14,2,1286.69,PLN
P-0064,Artykuły biurowe Xerox Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,11,5,166.83,PLN
P-0065,Monitor Samsung Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,IT,Monitory,szt.,13,6,7663.52,PLN
P-0066,Czujniki SICK Professional Series,Idealny do precyzyjnej detekcji obiektów w szybkich liniach pakujących i montażowych. Kluczowe cechy: odporność na zakłócenia EMC. Standard: Stopień ochrony IP67.,Production,Czujniki,szt.,11,2,1357.47,PLN
P-0067,Artykuły biurowe Brother Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,14,6,175.48,PLN
P-0068,Silnik Bosch 1kW DC,Przeznaczony do pracy ciągłej S1 w układach napędowych i wentylacyjnych. Kluczowe cechy: stopień ochrony IP55. Standard: Certyfikat CE.,Production,Silniki,szt.,15,5,1232.29,PLN
P-0069,Oprogramowanie Samsung Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,IT,Oprogramowanie,szt.,6,6,4141.18,PLN
P-0070,Artykuły biurowe Nowy Styl Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,6,8,827.5,PLN
P-0071,Artykuły biurowe Brother Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,14,5,628.81,PLN
P-0072,Okulary ochronne 3M Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,BHP,Okulary ochronne,szt.,8,2,517.08,PLN
P-0073,Laptop Samsung ThinkPad i7/32GB,Zoptymalizowany pod kątem wielozadaniowości i bezpiecznej pracy w środowisku korporacyjnym. Kluczowe cechy: matryca IPS z powłoką antyrefleksyjną. Standard: MIL-STD 810H.,IT,Laptopy,szt.,11,7,1544.62,PLN
P-0074,Artykuły biurowe Nowy Styl Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,9,5,426.98,PLN
P-0075,Oprogramowanie Samsung Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,IT,Oprogramowanie,szt.,10,5,1328.72,PLN
P-0076,Oprogramowanie Dell Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,IT,Oprogramowanie,szt.,7,3,7660.17,PLN
P-0077,Silnik SICK 2kW AC,Przeznaczony do pracy ciągłej S1 w układach napędowych i wentylacyjnych. Kluczowe cechy: łożyska o wydłużonej żywotności. Standard: Certyfikat CE.,Production,Silniki,szt.,6,3,254.78,PLN
P-0078,Narzędzia SKF Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Production,Narzędzia,szt.,15,6,574.24,PLN
P-0079,Papier Brother Professional Series,Zapewnia doskonały kontrast i ostrość wydruku w wysokonakładowych systemach laserowych. Kluczowe cechy: bezkwasowy skład. Standard: ISO 9706.,Office,Papier,szt.,14,7,290.65,PLN
P-0080,Papier Navigator Professional Series,Zapewnia doskonały kontrast i ostrość wydruku w wysokonakładowych systemach laserowych. Kluczowe cechy: bezkwasowy skład. Standard: Certyfikat FSC.,Office,Papier,szt.,14,2,447.03,PLN
P-0081,Laptop Lenovo ThinkPad i7/32GB,Zoptymalizowany pod kątem wielozadaniowości i bezpiecznej pracy w środowisku korporacyjnym. Kluczowe cechy: złącze Thunderbolt 4. Standard: TCO Certified.,IT,Laptopy,szt.,11,4,6984.16,PLN
P-0082,Silnik Siemens 7kW AC,Przeznaczony do pracy ciągłej S1 w układach napędowych i wentylacyjnych. Kluczowe cechy: izolacja klasy F. Standard: Certyfikat CE.,Production,Silniki,szt.,10,2,895.41,PLN
P-0083,Drukarki HP Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,IT,Drukarki,szt.,9,2,806.24,PLN
P-0084,Oprogramowanie Dell Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,IT,Oprogramowanie,szt.,15,4,1195.31,PLN
P-0085,Oprogramowanie Samsung Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,IT,Oprogramowanie,szt.,10,6,7468.5,PLN
P-0086,Oprogramowanie HP Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,IT,Oprogramowanie,szt.,5,5,4422.18,PLN
P-0087,Narzędzia SKF Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Production,Narzędzia,szt.,5,4,278.5,PLN
P-0088,Silnik SICK 2kW AC,Przeznaczony do pracy ciągłej S1 w układach napędowych i wentylacyjnych. Kluczowe cechy: łożyska o wydłużonej żywotności. Standard: Certyfikat CE.,Production,Silniki,szt.,7,8,1302.1,PLN
P-0089,Odzież robocza Ansell Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,BHP,Odzież robocza,szt.,15,3,949.02,PLN
P-0090,Kaski Honeywell Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,BHP,Kaski,szt.,11,3,945.33,PLN
P-0091,Oprogramowanie HP Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,IT,Oprogramowanie,szt.,8,5,3280.84,PLN
P-0092,Silnik Siemens 4kW DC,Przeznaczony do pracy ciągłej S1 w układach napędowych i wentylacyjnych. Kluczowe cechy: wysoka sprawność IE3. Standard: Certyfikat CE.,Production,Silniki,szt.,8,6,1253.55,PLN
P-0093,Czujniki SKF Professional Series,Idealny do precyzyjnej detekcji obiektów w szybkich liniach pakujących i montażowych. Kluczowe cechy: złącze M12 4-pin. Standard: Certyfikat UL.,Production,Czujniki,szt.,15,2,1146.71,PLN
P-0094,Czujniki ABB Professional Series,Idealny do precyzyjnej detekcji obiektów w szybkich liniach pakujących i montażowych. Kluczowe cechy: złącze M12 4-pin. Standard: Certyfikat UL.,Production,Czujniki,szt.,8,4,1010.87,PLN
P-0095,Artykuły biurowe Navigator Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,6,8,801.96,PLN
P-0096,Czujniki SICK Professional Series,Idealny do precyzyjnej detekcji obiektów w szybkich liniach pakujących i montażowych. Kluczowe cechy: złącze M12 4-pin. Standard: Certyfikat UL.,Production,Czujniki,szt.,5,3,1273.63,PLN
P-0097,Okulary ochronne Ansell Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,BHP,Okulary ochronne,szt.,12,6,1319.72,PLN
P-0098,Silnik SKF 10kW DC,Przeznaczony do pracy ciągłej S1 w układach napędowych i wentylacyjnych. Kluczowe cechy: łożyska o wydłużonej żywotności. Standard: Zgodność z normą IEC 60034.,Production,Silniki,szt.,6,4,349.15,PLN
P-0099,Toners Brother Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,Office,Toners,szt.,5,8,489.71,PLN
P-0100,Oprogramowanie Lenovo Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,IT,Oprogramowanie,szt.,11,5,8843.2,PLN
P-0101,Toners Xerox Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,Office,Toners,szt.,8,5,106.39,PLN
P-0102,Papier Xerox Professional Series,Zapewnia doskonały kontrast i ostrość wydruku w wysokonakładowych systemach laserowych. Kluczowe cechy: bezkwasowy skład. Standard: Certyfikat FSC.,Office,Papier,szt.,13,8,289.25,PLN
P-0103,Toners Navigator Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Office,Toners,szt.,9,5,683.32,PLN
P-0104,Silnik SICK 1kW DC,Przeznaczony do pracy ciągłej S1 w układach napędowych i wentylacyjnych. Kluczowe cechy: stopień ochrony IP55. Standard: Certyfikat CE.,Production,Silniki,szt.,11,3,938.92,PLN
P-0105,Oprogramowanie Dell Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,IT,Oprogramowanie,szt.,8,5,8917.04,PLN
P-0106,Kaski 3M Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: wysoka jakość wykonania. Standard: Zgodność z normami UE.,BHP,Kaski,szt.,13,7,1291.81,PLN
P-0107,Artykuły biurowe Navigator Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,Office,Artykuły biurowe,szt.,9,3,772.07,PLN
P-0108,Oprogramowanie Lenovo Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: trwałość materiałowa. Standard: Zgodność z normami UE.,IT,Oprogramowanie,szt.,13,6,1715.36,PLN
P-0109,Monitor Samsung Professional Series,Uniwersalne rozwiązanie wspierające bieżące procesy operacyjne w przedsiębiorstwie. Kluczowe cechy: ergonomiczny kształt. Standard: Zgodność z normami UE.,IT,Monitory,szt.,6,7,2804.04,PLN
P-0110,Czujniki ABB Professional Series,Idealny do precyzyjnej detekcji obiektów w szybkich liniach pakujących i montażowych. Kluczowe cechy: wyjście PNP/NPN. Standard: Stopień ochrony IP67.,Production,Czujniki,szt.,7,7,380.76,PLN
