Request_ID,User_Text,Detected_Product,Detected_Category,Timestamp
REQ-000032,Potrzebuję 20 szt. Portwest Workwear 229 do linii produkcyjnej.,Portwest Workwear 229,BHP,12/1/2024 10:41
REQ-000033,Potrzebuję 2 szt. Lenovo Laptops Model 847 do linii produkcyjnej.,Lenovo Laptops Model 847,IT,10/23/2025 13:07
REQ-000034,Potrzebuję 5 para Ansell Gloves Model 531 do linii produkcyjnej.,Ansell Gloves Model 531,BHP,11/21/2024 14:35
REQ-000035,Potrzebuję 5 licencja Microsoft Software Model 985 do linii produkcyjnej.,Microsoft Software Model 985,IT,4/7/2025 6:14
REQ-000036,I need 10 szt. of Asus Laptops 814 for production.,Asus Laptops 814,IT,10/27/2025 20:15
REQ-000037,I need 1 szt. of SKF Bearings Model 874 for production.,SKF Bearings Model 874,Automotive,4/3/2025 22:56
REQ-000038,"Need some spare parts, unknown model.",,,7/10/2025 1:54
REQ-000039,I need 50 szt. of Dell Laptops 765 for production.,Dell Laptops 765,IT,6/19/2025 12:58
REQ-000040,Potrzebuję 200 szt. Brother Printers 970 do linii produkcyjnej.,Brother Printers 970,IT,10/20/2025 4:05
REQ-000041,Potrzebuję 10 szt. LG Monitors 537 do linii produkcyjnej.,LG Monitors 537,IT,3/3/2025 22:47
REQ-000042,I need 20 para of Ansell Gloves Model 483 for production.,Ansell Gloves Model 483,BHP,10/13/2025 2:43
REQ-000043,I need 50 szt. of Mahle Filters Model 982 for production.,Mahle Filters Model 982,Automotive,4/14/2025 0:22
REQ-000044,Potrzebuję 5 licencja Microsoft Software Model 978 do linii produkcyjnej.,Microsoft Software Model 978,IT,6/15/2025 7:00
REQ-000045,"Potrzebujemy materiały biurowe, nie wiem dokładnie jakie.",,,4/23/2025 11:39
REQ-000046,I need 20 szt. of Portwest Workwear Model 185 for production.,Portwest Workwear Model 185,BHP,5/1/2025 0:24
REQ-000047,Potrzebuję 100 szt. ABB Motors Model 367 do linii produkcyjnej.,ABB Motors Model 367,Production,1/30/2025 1:44
REQ-000048,"Need some spare parts, unknown model.",,,9/21/2025 5:34
REQ-000049,I need 50 para of Honeywell Gloves Model 753 for production.,Honeywell Gloves Model 753,BHP,10/14/2025 6:05
REQ-000050,"Potrzebujemy materiały biurowe, nie wiem dokładnie jakie.",,,11/19/2024 2:20
REQ-000051,Potrzebuję 50 szt. Mann Filters 672 do linii produkcyjnej.,Mann Filters 672,Automotive,11/14/2024 1:42
REQ-000052,Potrzebuję 5 szt. Milwaukee Tools 577 do linii produkcyjnej.,Milwaukee Tools 577,Production,9/1/2025 5:58
REQ-000053,I need 1 para of Ansell Gloves Rękawice 979 for production.,Ansell Gloves Rękawice 979,BHP,8/24/2025 21:27
REQ-000054,I need 10 szt. of Gates Engine parts Model 645 for production.,Gates Engine parts Model 645,Automotive,4/19/2025 21:03
REQ-000055,Potrzebuję 100 szt. BIC Pens 830 do linii produkcyjnej.,BIC Pens 830,Office,11/15/2024 3:41
REQ-000056,Potrzebuję 10 szt. Mann Filters 672 do linii produkcyjnej.,Mann Filters 672,Automotive,7/5/2025 10:53
REQ-000057,Potrzebuję 200 szt. Sachs Engine parts Model 961 do linii produkcyjnej.,Sachs Engine parts Model 961,Automotive,8/14/2025 2:05
REQ-000058,Potrzebuję 50 szt. Siemens Sensors 598 do linii produkcyjnej.,Siemens Sensors 598,Production,12/4/2024 10:40
REQ-000059,Potrzebuję 5 szt. NTN Bearings Model 625 do linii produkcyjnej.,NTN Bearings Model 625,Automotive,2/14/2025 22:26
REQ-000060,I need 2 szt. of Honeywell Safety glasses Model 521 for production.,Honeywell Safety glasses Model 521,BHP,5/27/2025 20:05
REQ-000061,I need 50 szt. of Ardon Workwear 121 for production.,Ardon Workwear 121,BHP,1/19/2025 20:43
REQ-000062,Potrzebuję 100 szt. Stabilo Pens Model 829 do linii produkcyjnej.,Stabilo Pens Model 829,Office,6/6/2025 8:35
REQ-000063,I need 20 szt. of Honeywell Safety glasses 887 for production.,Honeywell Safety glasses 887,BHP,3/21/2025 9:05
REQ-000064,"Potrzebujemy materiały biurowe, nie wiem dokładnie jakie.",,,4/26/2025 1:58
REQ-000065,Potrzebuję 10 szt. BIC Pens Model 714 do linii produkcyjnej.,BIC Pens Model 714,Office,2/25/2025 18:14
REQ-000066,"Potrzebujemy materiały biurowe, nie wiem dokładnie jakie.",,,1/25/2025 1:18
REQ-000067,I need 5 L of Mobil Oils 983L for production.,Mobil Oils 983L,Automotive,5/27/2025 20:54
REQ-000068,I need 10 L of Shell Oils 971L for production.,Shell Oils 971L,Automotive,2/24/2025 18:35
REQ-000069,Potrzebuję 200 szt. FAG Bearings Model 446 do linii produkcyjnej.,FAG Bearings Model 446,Automotive,12/2/2024 22:05
REQ-000070,I need 50 szt. of Mahle Filters 440 for production.,Mahle Filters 440,Automotive,11/22/2024 18:57
REQ-000071,Potrzebuję 2 szt. Wurth Screws Model 983 do linii produkcyjnej.,Wurth Screws Model 983,Production,3/7/2025 20:04
REQ-000072,I need 50 szt. of NTN Bearings 224 for production.,NTN Bearings 224,Automotive,6/29/2025 12:57
REQ-000073,Potrzebuję 1 szt. Mahle Filters 477 do linii produkcyjnej.,Mahle Filters 477,Automotive,4/4/2025 10:11
REQ-000074,I need 2 szt. of IKEA Office chairs 642 for production.,IKEA Office chairs 642,Office,5/3/2025 0:39
REQ-000075,Potrzebuję 2 szt. Xerox Toner Model 502 do linii produkcyjnej.,Xerox Toner Model 502,Office,8/30/2025 22:07
REQ-000076,I need 200 szt. of FAG Bearings 183 for production.,FAG Bearings 183,Automotive,6/27/2025 6:39
REQ-000077,"Need some spare parts, unknown model.",,,8/19/2025 7:01
REQ-000078,Potrzebuję 2 szt. Stabilo Pens Model 829 do linii produkcyjnej.,Stabilo Pens Model 829,Office,8/3/2025 18:54
REQ-000079,I need 200 szt. of Petzl Helmets Model 772 for production.,Petzl Helmets Model 772,BHP,3/22/2025 3:07
REQ-000080,I need 100 szt. of Mahle Filters Model 459 for production.,Mahle Filters Model 459,Automotive,3/10/2025 23:34
REQ-000081,Potrzebuję 2 szt. Mann Filters 324 do linii produkcyjnej.,Mann Filters 324,Automotive,11/1/2025 9:57
REQ-000082,I need 2 szt. of Makita Tools 223 for production.,Makita Tools 223,Production,8/16/2025 4:04
REQ-000083,Potrzebuję 50 szt. Mahle Filters Model 612 do linii produkcyjnej.,Mahle Filters Model 612,Automotive,7/29/2025 6:59
REQ-000084,Potrzebuję 20 szt. Sachs Engine parts 231 do linii produkcyjnej.,Sachs Engine parts 231,Automotive,1/23/2025 20:08
REQ-000085,"Potrzebujemy materiały biurowe, nie wiem dokładnie jakie.",,,10/29/2025 10:33
REQ-000086,I need 50 szt. of Brother Printers 970 for production.,Brother Printers 970,IT,7/20/2025 1:47
REQ-000087,"Need some spare parts, unknown model.",,,7/7/2025 4:51
REQ-000088,I need 10 szt. of Nowy Styl Office chairs Model 309 for production.,Nowy Styl Office chairs Model 309,Office,11/12/2024 2:29
REQ-000089,I need 100 szt. of Dell Monitors 143 for production.,Dell Monitors 143,IT,1/11/2025 21:05
REQ-000090,Potrzebuję 50 op. Xerox Paper Model 217 do linii produkcyjnej.,Xerox Paper Model 217,Office,4/14/2025 20:25
REQ-000091,Potrzebuję 2 szt. Brother Toner 137 do linii produkcyjnej.,Brother Toner 137,Office,10/2/2025 1:10
REQ-000092,I need 5 szt. of HP Toner 779 for production.,HP Toner 779,Office,10/16/2025 16:04
REQ-000093,I need 50 szt. of Wurth Screws 342 for production.,Wurth Screws 342,Production,11/2/2025 21:15
REQ-000094,"Need some spare parts, unknown model.",,,4/1/2025 16:24
REQ-000095,Potrzebuję 1 para Honeywell Gloves Model 858 do linii produkcyjnej.,Honeywell Gloves Model 858,BHP,8/8/2025 13:45
REQ-000096,Potrzebuję 5 szt. Milwaukee Tools Model 960 do linii produkcyjnej.,Milwaukee Tools Model 960,Production,11/14/2024 1:13
REQ-000097,Potrzebuję 100 szt. Xerox Toner Model 174 do linii produkcyjnej.,Xerox Toner Model 174,Office,2/25/2025 20:45
REQ-000098,"Need some spare parts, unknown model.",,,12/27/2024 6:05
REQ-000099,I need 200 szt. of HP Printers Model 161 for production.,HP Printers Model 161,IT,2/14/2025 13:30
REQ-000100,I need 50 szt. of Profim Office chairs Model 193 for production.,Profim Office chairs Model 193,Office,12/11/2024 9:45
REQ-000101,I need 20 szt. of Honeywell Safety glasses 178 for production.,Honeywell Safety glasses 178,BHP,2/12/2025 18:19
REQ-000102,I need 100 szt. of DeWalt Tools 121 for production.,DeWalt Tools 121,Production,8/11/2025 20:35
REQ-000103,I need 200 szt. of Canon Printers 771 for production.,Canon Printers 771,IT,4/29/2025 18:18
REQ-000104,Potrzebuję 200 szt. Brother Toner Model 588 do linii produkcyjnej.,Brother Toner Model 588,Office,9/25/2025 6:54
REQ-000105,Potrzebuję 2 szt. Bosch Tools Model 429 do linii produkcyjnej.,Bosch Tools Model 429,Production,6/5/2025 12:33
REQ-000106,Potrzebuję 50 para Honeywell Gloves Model 259 do linii produkcyjnej.,Honeywell Gloves Model 259,BHP,10/25/2025 4:23
REQ-000107,I need 20 L of Castrol Oils 371L for production.,Castrol Oils 371L,Automotive,7/15/2025 22:24
REQ-000108,I need 5 licencja of Microsoft Software Model 749 for production.,Microsoft Software Model 749,IT,9/3/2025 3:23
REQ-000109,Potrzebuję 50 op. Xerox Paper Model 244 do linii produkcyjnej.,Xerox Paper Model 244,Office,6/6/2025 0:23
REQ-000110,I need 10 licencja of Adobe Software Model 534 for production.,Adobe Software Model 534,IT,3/10/2025 18:34
REQ-000111,I need 10 szt. of Profim Office chairs Model 193 for production.,Profim Office chairs Model 193,Office,5/15/2025 18:13
REQ-000112,Potrzebuję 20 para Uvex Gloves Model 145 do linii produkcyjnej.,Uvex Gloves Model 145,BHP,11/16/2024 15:00
REQ-000113,I need 20 L of Castrol Oils 371L for production.,Castrol Oils 371L,Automotive,4/16/2025 18:00
REQ-000114,I need 2 szt. of Wurth Screws Model 872 for production.,Wurth Screws Model 872,Production,12/4/2024 14:22
REQ-000115,Potrzebuję 1 szt. Dell Monitors Model 171 do linii produkcyjnej.,Dell Monitors Model 171,IT,12/31/2024 21:46
REQ-000116,I need 10 szt. of BIC Pens 969 for production.,BIC Pens 969,Office,1/28/2025 15:08
REQ-000117,Potrzebuję 5 szt. Ardon Workwear 121 do linii produkcyjnej.,Ardon Workwear 121,BHP,7/12/2025 5:38
REQ-000118,Potrzebuję 5 op. Xerox Paper Model 793 do linii produkcyjnej.,Xerox Paper Model 793,Office,3/19/2025 5:15
REQ-000119,Potrzebuję 1 L Total Oils 428L do linii produkcyjnej.,Total Oils 428L,Automotive,3/27/2025 10:45
REQ-000120,Potrzebuję 100 szt. Samsung Monitors Model 493 do linii produkcyjnej.,Samsung Monitors Model 493,IT,9/13/2025 18:29
REQ-000121,I need 200 L of Total Oils 819L for production.,Total Oils 819L,Automotive,3/8/2025 3:22
REQ-000122,Potrzebuję 100 szt. Mann Filters 672 do linii produkcyjnej.,Mann Filters 672,Automotive,11/19/2024 11:09
REQ-000123,Potrzebuję 5 szt. Uvex Safety glasses Model 318 do linii produkcyjnej.,Uvex Safety glasses Model 318,BHP,8/6/2025 19:42
REQ-000124,I need 20 szt. of Mann Filters 324 for production.,Mann Filters 324,Automotive,1/7/2025 9:00
REQ-000125,Potrzebuję 50 szt. Petzl Helmets Model 991 do linii produkcyjnej.,Petzl Helmets Model 991,BHP,4/21/2025 7:56
REQ-000126,Potrzebuję 100 szt. LG Monitors 200 do linii produkcyjnej.,LG Monitors 200,IT,11/18/2024 5:21
REQ-000127,I need 5 szt. of Samsung Monitors Model 493 for production.,Samsung Monitors Model 493,IT,8/27/2025 5:20
REQ-000128,Potrzebuję 1 szt. Portwest Workwear Model 185 do linii produkcyjnej.,Portwest Workwear Model 185,BHP,2/7/2025 11:40
REQ-000129,Potrzebuję 2 szt. Canon Printers 361 do linii produkcyjnej.,Canon Printers 361,IT,9/7/2025 21:30
REQ-000130,Potrzebuję 1 szt. Milwaukee Tools 349 do linii produkcyjnej.,Milwaukee Tools 349,Production,5/7/2025 10:20
REQ-000131,Potrzebuję 20 szt. Samsung Monitors Model 878 do linii produkcyjnej.,Samsung Monitors Model 878,IT,7/17/2025 5:50
REQ-000132,Potrzebuję 20 op. Papyrus Paper 539 op. do linii produkcyjnej.,Papyrus Paper 539 op.,Office,7/29/2025 14:55
REQ-000133,I need 5 szt. of SICK Sensors Model 476 for production.,SICK Sensors Model 476,Production,6/14/2025 22:20
REQ-000134,Potrzebuję 200 szt. Profim Office chairs Model 562 do linii produkcyjnej.,Profim Office chairs Model 562,Office,9/3/2025 9:10
REQ-000135,Potrzebuję 1 para Ansell Gloves Model 483 do linii produkcyjnej.,Ansell Gloves Model 483,BHP,5/11/2025 3:34
REQ-000136,I need 100 licencja of Microsoft Software 380 for production.,Microsoft Software 380,IT,1/23/2025 1:15
REQ-000137,I need 20 szt. of Xerox Toner Model 540 for production.,Xerox Toner Model 540,Office,10/12/2025 13:19
REQ-000138,Potrzebuję 10 L Mobil Oils 514L do linii produkcyjnej.,Mobil Oils 514L,Automotive,5/8/2025 3:30
REQ-000139,Potrzebuję 1 szt. IKEA Office chairs Model 453 do linii produkcyjnej.,IKEA Office chairs Model 453,Office,11/29/2024 12:06
REQ-000140,I need 1 szt. of Dell Monitors 345 for production.,Dell Monitors 345,IT,12/16/2024 0:04
REQ-000141,I need 50 szt. of DeWalt Tools 112 for production.,DeWalt Tools 112,Production,9/8/2025 2:42
REQ-000142,Potrzebuję 20 szt. Xerox Toner 830 do linii produkcyjnej.,Xerox Toner 830,Office,8/5/2025 5:49
REQ-000143,Potrzebuję 5 szt. Wurth Screws Model 509 do linii produkcyjnej.,Wurth Screws Model 509,Production,9/6/2025 18:19
REQ-000144,I need 1 licencja of Microsoft Software Model 985 for production.,Microsoft Software Model 985,IT,1/13/2025 22:49
REQ-000145,I need 200 szt. of Gates Engine parts Model 645 for production.,Gates Engine parts Model 645,Automotive,11/20/2024 18:35
REQ-000146,Potrzebuję 20 szt. 3M Helmets 439 do linii produkcyjnej.,3M Helmets 439,BHP,2/4/2025 6:33
REQ-000147,Potrzebuję 1 para Uvex Gloves Model 123 do linii produkcyjnej.,Uvex Gloves Model 123,BHP,10/29/2025 9:05
REQ-000148,Potrzebuję 50 szt. Gates Engine parts Model 645 do linii produkcyjnej.,Gates Engine parts Model 645,Automotive,8/26/2025 0:54
REQ-000149,I need 1 szt. of Dell Laptops Model 717 for production.,Dell Laptops Model 717,IT,7/12/2025 18:57
REQ-000150,I need 1 szt. of Uvex Safety glasses 886 for production.,Uvex Safety glasses 886,BHP,11/1/2025 12:45
REQ-000151,"Potrzebujemy materiały biurowe, nie wiem dokładnie jakie.",,,12/2/2024 1:03
REQ-000152,I need 50 szt. of Uvex Safety glasses 432 for production.,Uvex Safety glasses 432,BHP,1/2/2025 15:08
REQ-000153,I need 20 szt. of Dell Laptops Model 717 for production.,Dell Laptops Model 717,IT,10/14/2025 23:31
REQ-000154,"Potrzebujemy materiały biurowe, nie wiem dokładnie jakie.",,,12/29/2024 9:46
REQ-000155,I need 200 szt. of Wurth Screws Model 983 for production.,Wurth Screws Model 983,Production,7/21/2025 4:27
REQ-000156,Potrzebuję 2 szt. IKEA Office chairs 279 do linii produkcyjnej.,IKEA Office chairs 279,Office,6/28/2025 8:57
REQ-000157,I need 1 szt. of Makita Tools 223 for production.,Makita Tools 223,Production,2/16/2025 8:54
REQ-000158,Potrzebuję 50 szt. Petzl Helmets Model 991 do linii produkcyjnej.,Petzl Helmets Model 991,BHP,12/15/2024 11:26
REQ-000159,I need 20 szt. of Mann Filters Model 376 for production.,Mann Filters Model 376,Automotive,6/13/2025 10:34
REQ-000160,I need 50 op. of Xerox Paper 153 op. for production.,Xerox Paper 153 op.,Office,5/9/2025 3:08
REQ-000161,I need 1 szt. of Mann Filters 324 for production.,Mann Filters 324,Automotive,8/31/2025 10:07
REQ-000162,I need 50 szt. of Pepperl+Fuchs Sensors Model 474 for production.,Pepperl+Fuchs Sensors Model 474,Production,6/13/2025 7:21
REQ-000163,Potrzebuję 5 szt. 3M Helmets 757 do linii produkcyjnej.,3M Helmets 757,BHP,2/21/2025 10:28
REQ-000164,I need 10 szt. of WEG Motors Model 175 for production.,WEG Motors Model 175,Production,12/11/2024 18:54
REQ-000165,I need 100 op. of Xerox Paper Model 793 for production.,Xerox Paper Model 793,Office,11/10/2025 7:51
REQ-000166,I need 100 op. of Xerox Paper Model 217 for production.,Xerox Paper Model 217,Office,11/2/2025 11:38
REQ-000167,Potrzebuję 20 L Castrol Oils 486L do linii produkcyjnej.,Castrol Oils 486L,Automotive,5/28/2025 20:19
REQ-000168,Potrzebuję 200 szt. Canon Printers 771 do linii produkcyjnej.,Canon Printers 771,IT,4/23/2025 9:57
REQ-000169,I need 1 szt. of Xerox Toner Model 502 for production.,Xerox Toner Model 502,Office,6/23/2025 4:03
REQ-000170,I need 50 szt. of Sachs Engine parts 450 for production.,Sachs Engine parts 450,Automotive,5/10/2025 11:32
REQ-000171,I need 10 szt. of Xerox Toner 562 for production.,Xerox Toner 562,Office,9/4/2025 8:50
REQ-000172,Potrzebuję 1 licencja Microsoft Software Model 978 do linii produkcyjnej.,Microsoft Software Model 978,IT,4/5/2025 7:40
REQ-000173,Potrzebuję 1 licencja Microsoft Software 380 do linii produkcyjnej.,Microsoft Software 380,IT,10/23/2025 9:35
REQ-000174,I need 20 para of Honeywell Gloves Model 191 for production.,Honeywell Gloves Model 191,BHP,8/15/2025 13:04
REQ-000175,Potrzebuję 100 szt. ABB Motors 403 do linii produkcyjnej.,ABB Motors 403,Production,6/26/2025 8:37
REQ-000176,I need 2 szt. of Bosch Filters 887 for production.,Bosch Filters 887,Automotive,7/22/2025 9:02
REQ-000177,Potrzebuję 10 op. Papyrus Paper 539 op. do linii produkcyjnej.,Papyrus Paper 539 op.,Office,2/26/2025 5:47
REQ-000178,Potrzebuję 200 szt. Mann Filters 672 do linii produkcyjnej.,Mann Filters 672,Automotive,10/30/2025 12:06
REQ-000179,Potrzebuję 5 szt. Bosch Tools 232 do linii produkcyjnej.,Bosch Tools 232,Production,6/6/2025 14:04
REQ-000180,Potrzebuję 20 szt. HP Printers 275 do linii produkcyjnej.,HP Printers 275,IT,7/28/2025 2:47
REQ-000181,"Need some spare parts, unknown model.",,,5/30/2025 18:37
REQ-000182,Potrzebuję 10 szt. Uvex Safety glasses 432 do linii produkcyjnej.,Uvex Safety glasses 432,BHP,4/13/2025 23:23
REQ-000183,Potrzebuję 100 szt. Asus Laptops 814 do linii produkcyjnej.,Asus Laptops 814,IT,12/22/2024 13:44
REQ-000184,I need 20 L of Castrol Oils 610L for production.,Castrol Oils 610L,Automotive,3/14/2025 3:39
REQ-000185,Potrzebuję 50 szt. Dell Monitors Model 106 do linii produkcyjnej.,Dell Monitors Model 106,IT,2/1/2025 21:53
REQ-000186,I need 1 szt. of Petzl Helmets 833 for production.,Petzl Helmets 833,BHP,5/12/2025 11:49
REQ-000187,"Need some spare parts, unknown model.",,,12/23/2024 14:56
REQ-000188,Potrzebuję 2 szt. Nowy Styl Office chairs 162 do linii produkcyjnej.,Nowy Styl Office chairs 162,Office,8/30/2025 3:36
REQ-000189,Potrzebuję 20 szt. Honeywell Safety glasses 887 do linii produkcyjnej.,Honeywell Safety glasses 887,BHP,1/28/2025 2:20
REQ-000190,Potrzebuję 50 szt. Dell Monitors 345 do linii produkcyjnej.,Dell Monitors 345,IT,1/27/2025 23:43
REQ-000191,I need 1 szt. of Milwaukee Tools 168 for production.,Milwaukee Tools 168,Production,8/19/2025 19:20
REQ-000192,Potrzebuję 1 szt. Gates Engine parts Model 645 do linii produkcyjnej.,Gates Engine parts Model 645,Automotive,1/30/2025 14:28
REQ-000193,I need 50 szt. of HP Toner 779 for production.,HP Toner 779,Office,3/20/2025 19:02
REQ-000194,Potrzebuję 50 szt. Stabilo Pens 199 do linii produkcyjnej.,Stabilo Pens 199,Office,8/8/2025 3:19
REQ-000195,I need 5 szt. of DeWalt Tools 590 for production.,DeWalt Tools 590,Production,7/1/2025 11:26
REQ-000196,"Potrzebujemy materiały biurowe, nie wiem dokładnie jakie.",,,3/24/2025 6:51
REQ-000197,"Potrzebujemy materiały biurowe, nie wiem dokładnie jakie.",,,6/4/2025 18:41
REQ-000198,Potrzebuję 50 para Ansell Gloves Rękawice 979 do linii produkcyjnej.,Ansell Gloves Rękawice 979,BHP,2/21/2025 14:25
REQ-000199,Potrzebuję 50 szt. HP Printers Model 161 do linii produkcyjnej.,HP Printers Model 161,IT,5/1/2025 22:16
REQ-000200,Potrzebuję 10 szt. REX Screws 294 do linii produkcyjnej.,REX Screws 294,Production,4/15/2025 2:52
REQ-000201,I need 5 szt. of SKF Bearings Model 874 for production.,SKF Bearings Model 874,Automotive,1/17/2025 4:16
REQ-000202,I need 20 L of Shell Oils 837L for production.,Shell Oils 837L,Automotive,11/24/2024 20:59
REQ-000203,Potrzebuję 5 szt. Brother Toner Model 570 do linii produkcyjnej.,Brother Toner Model 570,Office,1/17/2025 22:34
REQ-000204,Potrzebuję 100 szt. 3M Safety glasses 493 do linii produkcyjnej.,3M Safety glasses 493,BHP,8/17/2025 3:03
REQ-000205,I need 5 szt. of NTN Bearings 237 for production.,NTN Bearings 237,Automotive,8/7/2025 0:47
REQ-000206,I need 20 L of Shell Oils 872L for production.,Shell Oils 872L,Automotive,3/31/2025 11:38
REQ-000207,Potrzebuję 20 szt. Brother Toner 137 do linii produkcyjnej.,Brother Toner 137,Office,2/26/2025 2:40
REQ-000208,I need 10 szt. of Brother Printers 353 for production.,Brother Printers 353,IT,6/17/2025 4:45
REQ-000209,Potrzebuję 100 szt. Samsung Monitors Model 719 do linii produkcyjnej.,Samsung Monitors Model 719,IT,1/6/2025 9:25
REQ-000210,I need 5 szt. of 3M Helmets 818 for production.,3M Helmets 818,BHP,7/28/2025 0:01
REQ-000211,Potrzebuję 5 szt. Mahle Filters Model 982 do linii produkcyjnej.,Mahle Filters Model 982,Automotive,1/19/2025 4:10
REQ-000212,Potrzebuję 1 szt. Bosch Filters 532 do linii produkcyjnej.,Bosch Filters 532,Automotive,12/23/2024 11:26
REQ-000213,I need 20 szt. of Uvex Safety glasses 779 for production.,Uvex Safety glasses 779,BHP,12/10/2024 23:55
REQ-000214,"Potrzebujemy materiały biurowe, nie wiem dokładnie jakie.",,,12/28/2024 12:50
REQ-000215,Potrzebuję 2 szt. Milwaukee Tools 349 do linii produkcyjnej.,Milwaukee Tools 349,Production,7/27/2025 5:02
REQ-000216,Potrzebuję 20 szt. SICK Sensors Model 536 do linii produkcyjnej.,SICK Sensors Model 536,Production,5/22/2025 5:52
REQ-000217,Potrzebuję 2 szt. Gates Engine parts Model 115 do linii produkcyjnej.,Gates Engine parts Model 115,Automotive,11/19/2024 17:33
REQ-000218,Potrzebuję 5 szt. SKF Bearings Model 701 do linii produkcyjnej.,SKF Bearings Model 701,Automotive,11/6/2025 7:47
REQ-000219,I need 100 szt. of HP Toner 159 for production.,HP Toner 159,Office,3/9/2025 6:26
REQ-000220,I need 5 szt. of HP Toner 893 for production.,HP Toner 893,Office,5/31/2025 23:47
REQ-000221,Potrzebuję 5 szt. 3M Safety glasses 493 do linii produkcyjnej.,3M Safety glasses 493,BHP,3/27/2025 14:31
REQ-000222,I need 20 szt. of Wurth Screws 207 for production.,Wurth Screws 207,Production,10/12/2025 14:11
REQ-000223,I need 50 szt. of REX Screws 598 for production.,REX Screws 598,Production,2/2/2025 0:06
REQ-000224,Potrzebuję 100 szt. Lenovo Laptops 221 do linii produkcyjnej.,Lenovo Laptops 221,IT,3/6/2025 9:27
REQ-000225,Potrzebuję 2 szt. BIC Pens Model 740 do linii produkcyjnej.,BIC Pens Model 740,Office,11/10/2025 21:48
